ID,Title,Icon name,Menu to display on,Description,Initial State,Tier,Price in Points,Price in Gems,Type,Column,Row
activity_achievement,,activity_achievement,,,Locked,,,,,,
activity_autopause,Auto-Pause,activity_autopause,run,Pauses the game when you stop for a traffic light,Locked,,,,,,
activity_banana,Banana skin x10,activity_banana,,Throw banana skins in front of your opponents to slow them down. Requires real-time challenge.,Locked,,,,,,
activity_barclays,Barclays bike,activity_barclays,cycle,Set a record on a London Boris Bike,Locked,,,,,,
activity_batman_skin,Batman skin for your avatar,activity_batman_skin,run,Upgrade your avatar to earn extra points when racing friends,Locked,,,,,,
activity_bike,Cycle mode,activity_bike,run,Switch to cycle mode,Locked,1,1000,1,,,
activity_bike,Race Yourself,activity_bike,cycle,Cycle against your own avatar for points,Locked,0,0,0,Race,1,0
activity_bike_level2,Race Yourself level 2,activity_bike_level2,cycle,See your average and best pace avatars at the same time,Locked,1,10000,5,Race,2,0
activity_bike_level3,Race Yourself level 3,activity_bike_level3,cycle,See a range of avatars coving all your past performance,Locked,2,100000,20,Race,2,1
activity_bleep,Bleep test,activity_bleep,run,50m sprints at increasing pace,Locked,,,,,,
activity_bolt_level1,Beat Bolt,activity_bolt_level1,run,100m sprint vs. Usain Bolt. How clase can you get?,Locked,,,,,,
activity_bolt_level2,Beat Bolt,activity_bolt_level2,run,200m sprint vs. Usain Bolt. How clase can you get?,Locked,,,,,,
activity_boulder,Boulder Dash,activity_boulder,run,Escape the boulder or get squashed!,Locked,1,1000,1,Pursuit,-2,-2
activity_boulder_level2,Boulder Dash level 2,activity_boulder_level2,run,Faster boulders,Locked,2,5000,5,Pursuit,-2,-1
activity_boulder_level3,Boulder Dash level 3,activity_boulder_level3,run,Super-fast boulders,Locked,3,20000,15,Pursuit,-2,0
activity_boulder_level4,Boulder Dash level 4,activity_boulder_level4,run,,Locked,4,50000,40,Pursuit,-2,1
activity_bradley_wiggins,Bradley Wiggins,activity_bradley_wiggins,cycle,Have you got what it takes to do a stage of the Tour de France?,Locked,,,,,,
activity_burn_10,,activity_burn_10,,,Locked,,,,,,
activity_burn_20,,activity_burn_20,,,Locked,,,,,,
activity_burn_30,,activity_burn_30,,,Locked,,,,,,
activity_celebrity_cycle,,activity_celebrity_cycle,cycle,,Locked,,,,,,
activity_celebrity_run1,,activity_celebrity_run1,,,Locked,,,,,,
activity_celebrity_run2,,activity_celebrity_run2,,,Locked,,,,,,
activity_cheetah_skin,Cheetah skin for your avatar,activity_cheetah_skin,run,Upgrade your avatar to earn extra points when racing friends,Locked,,,,,,
activity_chris_hoy,Sir Chris Hoy,activity_chris_hoy,cycle,1km sprint with Sir Chris Hoy,Locked,,,,,,
activity_cross_trainer,Cross Trainer,activity_cross_trainer,gym,,Locked,,,,,,
activity_diamond,,activity_diamond,,,Locked,,,,,,
activity_dinosaurs,T-rex challenge,activity_dinosaurs,run,,Locked,2,50000,50,Pursuit,0,-1
activity_dodo,,activity_dodo,,,Locked,,,,,,
activity_eagle,Eagle,activity_eagle,run,,Locked,1,5000,10,Pursuit,-1,0
activity_eagle_level2,Eagle level 2,activity_eagle_level2,run,,Locked,2,15000,30,Pursuit,-1,1
activity_endomondo,Endomondo,activity_endomondo,,,Locked,,,,,,
activity_farah,Race Mo,activity_farah,run,5000m vs. Mo at Olympic pace,Locked,,,,,,
activity_fire,,activity_fire,,,Locked,,,,,,
activity_fire_level1,,activity_fire_level1,,,Locked,,,,,,
activity_fire_level2,,activity_fire_level2,,,Locked,,,,,,
activity_fire_level3,,activity_fire_level3,,,Locked,,,,,,
activity_fitbit,FitBit,activity_fitbit,,,Locked,,,,,,
activity_food_burn,,activity_food_burn,,,Locked,,,,,,
activity_food_planner1,Food planner,activity_food_planner1,,,Locked,,,,,,
activity_food_planner2,Food planner level 2,activity_food_planner2,,,Locked,,,,,,
activity_food_scan,,activity_food_scan,,,Locked,,,,,,
activity_gorilla_skin,Gorilla skin for your avatar,activity_gorilla_skin,run,Upgrade your avatar to earn extra points when racing friends,Locked,,,,,,
activity_half_marathon,Half marathon,activity_half_marathon,run,Race a half marathon,Locked,,,,,,
activity_heart,Heart-rate monitor,activity_heart,all,Connect to bluetooth heart-rate monitor. Required for some games.,Locked,,,,,,
activity_heart2,,activity_heart2,all,,Locked,,,,,,
